record_key,destination_key,feature_group,feature_key,feature_value,availability_level,proximity_band,display_label,evidence_summary,source_name,source_url,source_as_of_date,confidence,matching_enabled,display_enabled,notes
lf_dumaguete_ph_community_energy,dumaguete-ph,community_form,community_energy,BALANCED,NOT_APPLICABLE,NOT_APPLICABLE,Everyday atmosphere,"Nicknamed the 'City of Gentle People'; described as a low-poverty, retiree- and student-friendly city rather than an intense nightlife hub.",Wikipedia,https://en.wikipedia.org/wiki/Dumaguete,2026-08-27,MEDIUM,YES,YES,
lf_dumaguete_ph_tourism_seasonality,dumaguete-ph,community_form,tourism_seasonality,MODERATE_SEASONALITY,NOT_APPLICABLE,NOT_APPLICABLE,Tourist-season variability,"No specific seasonal-crowding data found; general Philippine dive-tourism season (Dec-May dry season) plausibly shapes visitor patterns, not independently confirmed.",,,,LOW,NO,YES,
lf_dumaguete_ph_coastal_setting,dumaguete-ph,natural_setting,coastal_setting,NOT_APPLICABLE,STRONG,IN_DESTINATION,Coastal setting,Bounded on the east by the Bohol Sea and Tanon Strait; Rizal Boulevard waterfront is the city's civic spine.,Wikipedia,https://en.wikipedia.org/wiki/Dumaguete,2026-08-27,MEDIUM,YES,YES,
lf_dumaguete_ph_beach_access,dumaguete-ph,natural_setting,beach_access,NEARBY,NOT_APPLICABLE,WITHIN_30_MIN,Beach access,Mirrors existing DESTINATIONS.beach_access = NEARBY.,DESTINATIONS.beach_access (existing authoritative field),,,HIGH,NO,YES,"Mirrored value, not independently researched."
lf_dumaguete_ph_mountain_access,dumaguete-ph,natural_setting,mountain_access,MOUNTAIN_SCENIC_ONLY,NOT_APPLICABLE,WITHIN_60_MIN,Mountain access,Mirrors existing DESTINATIONS.mountain_or_ski_access = MOUNTAIN_SCENIC_ONLY.,DESTINATIONS.mountain_or_ski_access (existing authoritative field),,,HIGH,NO,YES,"Mirrored value, not independently researched."
lf_dumaguete_ph_lake_access,dumaguete-ph,natural_setting,lake_access,NOT_APPLICABLE,MODERATE,WITHIN_60_MIN,Lake access,"Twin crater lakes (Balinsasayao and Danao), a DENR-managed national park and 2025 ASEAN Heritage Park, located 14.5 km west of Dumaguete.",Wikipedia (Balinsasayao Twin Lakes Natural Park),https://en.wikipedia.org/wiki/Balinsasayao_Twin_Lakes_Natural_Park,2026-08-27,MEDIUM,YES,YES,
lf_dumaguete_ph_river_access,dumaguete-ph,natural_setting,river_access,NOT_APPLICABLE,MODERATE,IN_DESTINATION,River access,City is situated near the mouth of the Banica River; Rizal Boulevard/Pantawan People's Park extends to the river mouth.,Wikipedia,https://en.wikipedia.org/wiki/Dumaguete,2026-08-27,MEDIUM,YES,YES,
lf_dumaguete_ph_forest_access,dumaguete-ph,natural_setting,forest_access,NOT_APPLICABLE,MODERATE,WITHIN_60_MIN,Forest / woodland access,The twin-lakes park is surrounded by primary/secondary dipterocarp forest and is an Important Bird Area.,Wikipedia (Balinsasayao Twin Lakes Natural Park),https://en.wikipedia.org/wiki/Balinsasayao_Twin_Lakes_Natural_Park,2026-08-27,MEDIUM,YES,YES,
lf_dumaguete_ph_desert_setting,dumaguete-ph,natural_setting,desert_setting,NOT_APPLICABLE,NONE,NOT_APPLICABLE,Desert setting,Tropical monsoon (Koppen) climate; no arid/desert biome.,Wikipedia,https://en.wikipedia.org/wiki/Dumaguete,2026-08-27,MEDIUM,YES,YES,
lf_dumaguete_ph_countryside_access,dumaguete-ph,natural_setting,countryside_access,NOT_APPLICABLE,MODERATE,WITHIN_30_MIN,Countryside access,"Bounded by agricultural municipalities (Sibulan, Bacong, Valencia); existing PLACES already lists Valencia highlands as a day trip.",Wikipedia,https://en.wikipedia.org/wiki/Dumaguete,2026-08-27,MEDIUM,YES,YES,
lf_dumaguete_ph_snow_access,dumaguete-ph,natural_setting,snow_access,NOT_APPLICABLE,NONE,NOT_APPLICABLE,Snow / winter-scenery access,PAGASA climate-normal data (via Wikipedia citation) shows a tropical monsoon climate with no recorded sub-freezing temperatures; snowfall is not climatically feasible.,PAGASA climatological normals (via Wikipedia citation),https://en.wikipedia.org/wiki/Dumaguete,,MEDIUM,YES,YES,
lf_dumaguete_ph_marina_access,dumaguete-ph,water_and_boating,marina_access,NOT_APPLICABLE,LIMITED,IN_DESTINATION,Marina access,Port of Dumaguete is a major commercial/passenger ferry hub (multiple operators) and Coast Guard station; no confirmed dedicated leisure-boat marina facilities.,Wikipedia,https://en.wikipedia.org/wiki/Dumaguete,,MEDIUM,YES,YES,"Do not overstate: primarily a commercial/ferry port, not a leisure marina."
lf_dumaguete_ph_boat_launch_access,dumaguete-ph,water_and_boating,boat_launch_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Boat ramp / launch access,"No public boat ramp specifically confirmed this pass, though small-boat departures for Apo Island occur from nearby Malatapay, not Dumaguete proper.",,,,LOW,NO,YES,
lf_dumaguete_ph_slip_or_mooring_access,dumaguete-ph,water_and_boating,slip_or_mooring_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Boat slip / mooring availability,No slip/mooring information found for the port this pass.,,,,LOW,NO,YES,
lf_dumaguete_ph_powerboating_access,dumaguete-ph,water_and_boating,powerboating_access,NOT_APPLICABLE,MODERATE,UNKNOWN,Powerboating,Motorized boat transfer (about 30 minutes) from Malatapay village to Apo Island is the standard access method for diving.,Wikipedia (Apo Island),https://en.wikipedia.org/wiki/Apo_Island,2026-08-27,MEDIUM,YES,YES,
lf_dumaguete_ph_sailing_access,dumaguete-ph,water_and_boating,sailing_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Sailing,No sailing club/operator confirmed this pass.,,,,LOW,NO,YES,
lf_dumaguete_ph_fishing_access,dumaguete-ph,water_and_boating,fishing_access,NOT_APPLICABLE,MODERATE,IN_DESTINATION,Fishing access,Wikipedia documents an active local fishing livelihood along the coastal marine ecosystem.,Wikipedia,https://en.wikipedia.org/wiki/Dumaguete,2026-08-27,MEDIUM,YES,YES,
lf_dumaguete_ph_kayaking_access,dumaguete-ph,water_and_boating,kayaking_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Kayaking,"No confirmed kayak outfitter this pass, though the twin lakes and coastline are plausible venues.",,,,LOW,NO,YES,
lf_dumaguete_ph_paddleboarding_access,dumaguete-ph,water_and_boating,paddleboarding_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Paddleboarding,No evidence found either way.,,,,LOW,NO,NO,
lf_dumaguete_ph_swimming_access,dumaguete-ph,water_and_boating,swimming_access,NOT_APPLICABLE,LIMITED,IN_DESTINATION,Swimming access,Existing PLACES entry: 'Silliman Beach / Marine Laboratory area - educational coastal asset rather than a resort-quality swimming beach.' In-city swimming is limited; regional swimming (Dauin/Apo) is much stronger (see proximity note).,"Batch #2 workbook (existing, untouched v3.2)",,,MEDIUM,YES,YES,Distinguish in-city (LIMITED) from regional (STRONG) - see scuba_snorkeling_access and day-trip PLACES entries for the regional picture.
lf_dumaguete_ph_surfing_access,dumaguete-ph,water_and_boating,surfing_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Surfing,"No source describing a surf break or school was found in this pass; this reflects a research gap, not a confirmed absence.",,,,LOW,NO,YES,
lf_dumaguete_ph_scuba_snorkeling_access,dumaguete-ph,water_and_boating,scuba_snorkeling_access,NOT_APPLICABLE,STRONG,UNKNOWN,Scuba diving / snorkeling,Apo Island is a recognized diving and snorkeling destination: a community-managed marine sanctuary since 1982 with over 400 documented coral species and 650+ documented fish species (Wikipedia). It is reached via a short drive plus a boat ride from Malatapay near Dumaguete; existing PLACES already references 'Dauin/Apo Island diving' as a regional recreation asset.,Wikipedia (Apo Island),https://en.wikipedia.org/wiki/Apo_Island,,MEDIUM,YES,YES,This is the single most defining recreational identity found for this destination in this research pass.
lf_dumaguete_ph_golf_access,dumaguete-ph,outdoor_recreation,golf_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Golf access,No PLACES row and no course confirmed this pass.,,,,LOW,NO,YES,
lf_dumaguete_ph_pickleball_access,dumaguete-ph,outdoor_recreation,pickleball_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Pickleball,No evidence found either way.,,,,LOW,NO,NO,
lf_dumaguete_ph_tennis_access,dumaguete-ph,outdoor_recreation,tennis_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Tennis,Wikipedia references a general sports complex (Lamberto Macias) but no tennis-specific facility was confirmed.,,,,LOW,NO,YES,
lf_dumaguete_ph_skiing_snowboarding_access,dumaguete-ph,outdoor_recreation,skiing_snowboarding_access,NOT_APPLICABLE,NONE,NOT_APPLICABLE,Skiing / snowboarding,PAGASA climate-normal data (via Wikipedia citation) shows a tropical monsoon climate with no sub-freezing temperatures or snowfall; a ski facility is not climatically feasible.,PAGASA climatological normals (via Wikipedia citation),https://en.wikipedia.org/wiki/Dumaguete,,MEDIUM,YES,YES,
lf_dumaguete_ph_hiking_access,dumaguete-ph,outdoor_recreation,hiking_access,NOT_APPLICABLE,MODERATE,WITHIN_60_MIN,Hiking,The twin-lakes natural park offers documented hiking/birding trails.,Wikipedia (Balinsasayao Twin Lakes Natural Park),https://en.wikipedia.org/wiki/Balinsasayao_Twin_Lakes_Natural_Park,2026-08-27,MEDIUM,YES,YES,
lf_dumaguete_ph_trail_access,dumaguete-ph,outdoor_recreation,trail_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Walking / multi-use trails,"No dedicated in-city walking/multi-use trail network confirmed this pass beyond the Rizal Boulevard promenade (captured separately as a cultural/civic asset, not a trail).",,,,LOW,NO,YES,
lf_dumaguete_ph_road_cycling_access,dumaguete-ph,outdoor_recreation,road_cycling_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Road cycling,No confirmed cycling route this pass.,,,,LOW,NO,YES,
lf_dumaguete_ph_mountain_biking_access,dumaguete-ph,outdoor_recreation,mountain_biking_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Mountain biking,No evidence found either way.,,,,LOW,NO,NO,
lf_dumaguete_ph_hunting_access,dumaguete-ph,outdoor_recreation,hunting_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Recreational hunting access (general/regional only),No destination-specific confirmation sought or found.,,,,LOW,NO,YES,
lf_dumaguete_ph_parks_open_space_access,dumaguete-ph,outdoor_recreation,parks_open_space_access,NOT_APPLICABLE,MODERATE,IN_DESTINATION,Parks & open space,Quezon Park and the reclaimed Pantawan People's Park at the southern end of Rizal Boulevard.,Wikipedia,https://en.wikipedia.org/wiki/Dumaguete,2026-08-27,MEDIUM,YES,YES,
lf_dumaguete_ph_arts_culture_strength,dumaguete-ph,culture_and_daily_life,arts_culture_strength,NOT_APPLICABLE,STRONG,NOT_APPLICABLE,Arts & culture strength,"Existing PLACES rows (attraction, museum, performing_arts) plus 2025 UNESCO Creative City of Literature designation.","Batch #2 workbook (existing, untouched v3.2)",,,MEDIUM,YES,YES,Existing PLACES evidence plus one corroborating Wikipedia fact.
lf_dumaguete_ph_dining_strength,dumaguete-ph,culture_and_daily_life,dining_strength,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Dining,No dedicated restaurant/dining PLACES rows currently exist for this destination; not independently researched this phase per scope.,,,,LOW,NO,YES,
lf_dumaguete_ph_farmers_market_access,dumaguete-ph,culture_and_daily_life,farmers_market_access,NOT_APPLICABLE,STRONG,IN_DESTINATION,Farmers markets,Existing PLACES market row: Dumaguete Public Market painitan (traditional breakfast/market culture).,"Batch #2 workbook (existing, untouched v3.2)",,,MEDIUM,YES,YES,Existing PLACES evidence.
lf_las_terrenas_do_settlement_type,las-terrenas-do,community_form,settlement_type,RESORT_COMMUNITY,NOT_APPLICABLE,NOT_APPLICABLE,Community type,"city_type 'international beach town'; Wikipedia confirms tourism, commerce and fishing as the main economic activities.","Batch #2 workbook (existing, untouched v3.2)",,,HIGH,YES,YES,PRIMARY
lf_las_terrenas_do_settlement_type_2,las-terrenas-do,community_form,settlement_type,SMALL_TOWN,NOT_APPLICABLE,NOT_APPLICABLE,Community type,"Founded 1946 as a small fishing village; population 22,664 (2012 census).",Wikipedia,https://en.wikipedia.org/wiki/Las_Terrenas,,MEDIUM,YES,YES,SECONDARY
lf_las_terrenas_do_suburban_character,las-terrenas-do,community_form,suburban_character,NOT_APPLICABLE,NONE,NOT_APPLICABLE,Suburban character,"Beach-town form, not suburban.",Wikipedia,https://en.wikipedia.org/wiki/Las_Terrenas,,MEDIUM,YES,YES,
lf_las_terrenas_do_resort_orientation,las-terrenas-do,community_form,resort_orientation,NOT_APPLICABLE,STRONG,NOT_APPLICABLE,Resort orientation,"Wikipedia: 'main economic activities of the town are tourism, commerce and fishing'; hotel/club/restaurant infrastructure explicitly documented.",Wikipedia,https://en.wikipedia.org/wiki/Las_Terrenas,2026-08-27,MEDIUM,YES,YES,
lf_las_terrenas_do_retirement_orientation,las-terrenas-do,community_form,retirement_orientation,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Retirement-community character,No official retirement-specific recognition found this pass.,,,,LOW,NO,YES,
lf_las_terrenas_do_college_town_character,las-terrenas-do,community_form,college_town_character,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,College-town character,"Wikipedia's short town profile does not mention a university, but article silence on this topic is not affirmative evidence that no institution exists.",Wikipedia,https://en.wikipedia.org/wiki/Las_Terrenas,,LOW,NO,YES,
lf_las_terrenas_do_master_planned_or_gated_character,las-terrenas-do,community_form,master_planned_or_gated_character,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Master-planned / gated community presence,"No evidence found either way this pass, though condominium/resort corridor development (El Portillo) is noted in existing PLACES.",,,,LOW,NO,YES,
lf_las_terrenas_do_community_energy,las-terrenas-do,community_form,community_energy,SEASONALLY_VARIABLE,NOT_APPLICABLE,NOT_APPLICABLE,Everyday atmosphere,Existing narrative documents a strong French expatriate community and an international-resort atmosphere with likely seasonal variation.,"Batch #2 workbook (existing, untouched v3.2)",,,MEDIUM,YES,YES,
lf_las_terrenas_do_tourism_seasonality,las-terrenas-do,community_form,tourism_seasonality,HIGH_SEASONALITY,NOT_APPLICABLE,NOT_APPLICABLE,Tourist-season variability,Not independently confirmed with visitor data this pass; inferred from resort-town character and existing narrative.,,,,LOW,NO,YES,
lf_las_terrenas_do_coastal_setting,las-terrenas-do,natural_setting,coastal_setting,NOT_APPLICABLE,STRONG,IN_DESTINATION,Coastal setting,"Town on the northeast coast of the Dominican Republic, known for white-sand beaches.",Wikipedia,https://en.wikipedia.org/wiki/Las_Terrenas,2026-08-27,MEDIUM,YES,YES,
lf_las_terrenas_do_beach_access,las-terrenas-do,natural_setting,beach_access,DIRECT_ACCESS,NOT_APPLICABLE,IN_DESTINATION,Beach access,Mirrors existing DESTINATIONS.beach_access = DIRECT_ACCESS.,DESTINATIONS.beach_access (existing authoritative field),,,HIGH,NO,YES,"Mirrored value, not independently researched."
lf_las_terrenas_do_mountain_access,las-terrenas-do,natural_setting,mountain_access,MOUNTAIN_SCENIC_ONLY,NOT_APPLICABLE,WITHIN_30_MIN,Mountain access,Mirrors existing DESTINATIONS.mountain_or_ski_access = MOUNTAIN_SCENIC_ONLY.,DESTINATIONS.mountain_or_ski_access (existing authoritative field),,,HIGH,NO,YES,"Mirrored value, not independently researched."
lf_las_terrenas_do_lake_access,las-terrenas-do,natural_setting,lake_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Lake access,No named lake identified within a confirmed regional radius this pass.,,,,LOW,NO,YES,
lf_las_terrenas_do_river_access,las-terrenas-do,natural_setting,river_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,River access,No named river confirmed at the destination this pass.,,,,LOW,NO,YES,
lf_las_terrenas_do_forest_access,las-terrenas-do,natural_setting,forest_access,NOT_APPLICABLE,MODERATE,WITHIN_60_MIN,Forest / woodland access,Existing PLACES day_trip entry: Los Haitises National Park (protected mangrove/cave landscape reached by regional excursion).,"Batch #2 workbook (existing, untouched v3.2)",,,MEDIUM,YES,YES,Existing PLACES evidence.
lf_las_terrenas_do_desert_setting,las-terrenas-do,natural_setting,desert_setting,NOT_APPLICABLE,NONE,NOT_APPLICABLE,Desert setting,Tropical coastal climate; no arid/desert biome.,General tropical-coastal climate knowledge (not independently sourced to an official climate-normal record this pass),,,LOW,NO,YES,
lf_las_terrenas_do_countryside_access,las-terrenas-do,natural_setting,countryside_access,NOT_APPLICABLE,MODERATE,WITHIN_30_MIN,Countryside access,"Existing PLACES day_trip entries (Salto El Limon, Playa Moron) indicate a rural hinterland in El Limon municipality.","Batch #2 workbook (existing, untouched v3.2)",,,MEDIUM,YES,YES,Existing PLACES evidence.
lf_las_terrenas_do_snow_access,las-terrenas-do,natural_setting,snow_access,NOT_APPLICABLE,NONE,NOT_APPLICABLE,Snow / winter-scenery access,Tropical coastal climate at low elevation in the Caribbean (Wikipedia); snow is not climatically feasible at this latitude and elevation.,General tropical-climate reasoning (Caribbean coastal location),https://en.wikipedia.org/wiki/Las_Terrenas,,MEDIUM,YES,YES,
lf_las_terrenas_do_marina_access,las-terrenas-do,water_and_boating,marina_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Marina access,No dedicated marina facility (slips/fuel/moorings) could be confirmed in this research pass; existing PLACES 'Las Terrenas Sailing Club area' entry explicitly flags that its current operator/services require listing-level confirmation.,,,,LOW,NO,YES,
lf_las_terrenas_do_boat_launch_access,las-terrenas-do,water_and_boating,boat_launch_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Boat ramp / launch access,No public boat ramp specifically confirmed this pass.,,,,LOW,NO,YES,
lf_las_terrenas_do_slip_or_mooring_access,las-terrenas-do,water_and_boating,slip_or_mooring_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Boat slip / mooring availability,No slip/mooring information found this pass.,,,,LOW,NO,YES,
lf_las_terrenas_do_powerboating_access,las-terrenas-do,water_and_boating,powerboating_access,NOT_APPLICABLE,LIMITED,IN_DESTINATION,Powerboating,Existing PLACES 'Las Terrenas Sailing Club area' entry references water-sports access whose current operator/services require confirmation.,"Batch #2 workbook (existing, untouched v3.2)",,,LOW,NO,YES,"Existing PLACES evidence, confidence kept LOW pending operator verification."
lf_las_terrenas_do_sailing_access,las-terrenas-do,water_and_boating,sailing_access,NOT_APPLICABLE,LIMITED,IN_DESTINATION,Sailing,Same 'Las Terrenas Sailing Club area' PLACES entry.,"Batch #2 workbook (existing, untouched v3.2)",,,LOW,NO,YES,"Existing PLACES evidence, confidence kept LOW pending operator verification."
lf_las_terrenas_do_fishing_access,las-terrenas-do,water_and_boating,fishing_access,NOT_APPLICABLE,MODERATE,IN_DESTINATION,Fishing access,Wikipedia documents fishing as one of the town's founding and continuing economic activities.,Wikipedia,https://en.wikipedia.org/wiki/Las_Terrenas,2026-08-27,MEDIUM,YES,YES,
lf_las_terrenas_do_kayaking_access,las-terrenas-do,water_and_boating,kayaking_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Kayaking,"No confirmed outfitter this pass, though calmer beaches (Las Ballenas) are plausible venues per existing PLACES notes.",,,,LOW,NO,YES,
lf_las_terrenas_do_paddleboarding_access,las-terrenas-do,water_and_boating,paddleboarding_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Paddleboarding,No confirmed outfitter this pass.,,,,LOW,NO,YES,
lf_las_terrenas_do_swimming_access,las-terrenas-do,water_and_boating,swimming_access,NOT_APPLICABLE,STRONG,IN_DESTINATION,Swimming access,"Existing PLACES beach rows explicitly note 'calmer stretches' and water-sport options across Las Ballenas, Playa Bonita and Punta Popy.","Batch #2 workbook (existing, untouched v3.2)",,,HIGH,YES,YES,Existing PLACES evidence.
lf_las_terrenas_do_surfing_access,las-terrenas-do,water_and_boating,surfing_access,NOT_APPLICABLE,MODERATE,IN_DESTINATION,Surfing,Existing PLACES entries for Playa Bonita and Playa Coson note surf conditions.,"Batch #2 workbook (existing, untouched v3.2)",,,MEDIUM,YES,YES,Existing PLACES evidence.
lf_las_terrenas_do_scuba_snorkeling_access,las-terrenas-do,water_and_boating,scuba_snorkeling_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Scuba diving / snorkeling,No dive operator or reef site specifically confirmed this pass.,,,,LOW,NO,YES,
lf_las_terrenas_do_golf_access,las-terrenas-do,outdoor_recreation,golf_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Golf access,"No PLACES row and no course confirmed this pass; known Dominican north-coast golf courses (e.g. Playa Grande) are understood to be well outside Las Terrenas, not confirmed as within a reasonable regional radius this pass.",,,,LOW,NO,YES,
lf_las_terrenas_do_pickleball_access,las-terrenas-do,outdoor_recreation,pickleball_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Pickleball,No evidence found either way.,,,,LOW,NO,NO,
lf_las_terrenas_do_tennis_access,las-terrenas-do,outdoor_recreation,tennis_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Tennis,No evidence found either way; some resort/hotel courts plausible but unconfirmed.,,,,LOW,NO,YES,
lf_las_terrenas_do_skiing_snowboarding_access,las-terrenas-do,outdoor_recreation,skiing_snowboarding_access,NOT_APPLICABLE,NONE,NOT_APPLICABLE,Skiing / snowboarding,Tropical coastal climate at low elevation with no sub-freezing temperatures or snowfall; a ski facility is not climatically feasible here.,General tropical-climate reasoning (Caribbean coastal location),https://en.wikipedia.org/wiki/Las_Terrenas,,MEDIUM,YES,YES,
lf_las_terrenas_do_hiking_access,las-terrenas-do,outdoor_recreation,hiking_access,NOT_APPLICABLE,MODERATE,WITHIN_60_MIN,Hiking,"Existing PLACES day_trip entries: Salto El Limon waterfall hike, Los Haitises National Park.","Batch #2 workbook (existing, untouched v3.2)",,,MEDIUM,YES,YES,Existing PLACES evidence.
lf_las_terrenas_do_trail_access,las-terrenas-do,outdoor_recreation,trail_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Walking / multi-use trails,No dedicated in-town walking/multi-use trail network confirmed this pass.,,,,LOW,NO,YES,
lf_las_terrenas_do_road_cycling_access,las-terrenas-do,outdoor_recreation,road_cycling_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Road cycling,No confirmed route this pass.,,,,LOW,NO,YES,
lf_las_terrenas_do_mountain_biking_access,las-terrenas-do,outdoor_recreation,mountain_biking_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Mountain biking,No evidence found either way.,,,,LOW,NO,NO,
lf_las_terrenas_do_hunting_access,las-terrenas-do,outdoor_recreation,hunting_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Recreational hunting access (general/regional only),No destination-specific confirmation sought or found.,,,,LOW,NO,YES,
lf_las_terrenas_do_parks_open_space_access,las-terrenas-do,outdoor_recreation,parks_open_space_access,NOT_APPLICABLE,LIMITED,IN_DESTINATION,Parks & open space,Wikipedia gallery references a 'Las Terrenas Park' but no detail on size/facilities was available.,Wikipedia,https://en.wikipedia.org/wiki/Las_Terrenas,2026-08-27,LOW,NO,YES,
lf_las_terrenas_do_arts_culture_strength,las-terrenas-do,culture_and_daily_life,arts_culture_strength,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Arts & culture strength,No museum/gallery/theater PLACES rows currently exist for this destination; not independently researched this phase per scope.,,,,LOW,NO,YES,
lf_las_terrenas_do_dining_strength,las-terrenas-do,culture_and_daily_life,dining_strength,NOT_APPLICABLE,MODERATE,NOT_APPLICABLE,Dining,Existing PLACES dining category rows.,"Batch #2 workbook (existing, untouched v3.2)",,,HIGH,YES,YES,Existing PLACES evidence.
lf_las_terrenas_do_farmers_market_access,las-terrenas-do,culture_and_daily_life,farmers_market_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Farmers markets,No farmers_market PLACES row currently exists for this destination; not independently researched this phase.,,,,LOW,NO,YES,
lf_fairhope_al_us_settlement_type,fairhope-al-us,community_form,settlement_type,SMALL_CITY,NOT_APPLICABLE,NOT_APPLICABLE,Community type,"Population 26,625; city_type 'bayfront small city'.","Batch #2 workbook (existing, untouched v3.2)",,,HIGH,YES,YES,PRIMARY
lf_fairhope_al_us_settlement_type_2,fairhope-al-us,community_form,settlement_type,SUBURBAN_COMMUNITY,NOT_APPLICABLE,NOT_APPLICABLE,Community type,"Wikipedia describes Fairhope's evolution as including a shift toward being 'an affluent suburb of Mobile' and notes its status as a principal city of the Daphne-Fairhope-Foley metropolitan area. This reflects Fairhope's regional relationship to Mobile, not its independent local identity as a historic single-tax colony and arts/intellectual community with its own distinct downtown character.",Wikipedia,"https://en.wikipedia.org/wiki/Fairhope,_Alabama",2026-08-27,MEDIUM,YES,YES,SECONDARY
lf_fairhope_al_us_suburban_character,fairhope-al-us,community_form,suburban_character,NOT_APPLICABLE,MODERATE,NOT_APPLICABLE,Suburban character,"Fairhope has a genuine metro-area relationship to Mobile (principal city of the Daphne-Fairhope-Foley metro area; Wikipedia describes it as having become 'an affluent suburb of Mobile'), but this is secondary to its distinct, independent identity as a historic single-tax colony and arts/intellectual community with its own compact downtown core.",Wikipedia,"https://en.wikipedia.org/wiki/Fairhope,_Alabama",2026-08-27,MEDIUM,YES,YES,
lf_fairhope_al_us_resort_orientation,fairhope-al-us,community_form,resort_orientation,NOT_APPLICABLE,MODERATE,NOT_APPLICABLE,Resort orientation,"Described as having transitioned toward a 'boutique resort' character, alongside its artists'/intellectuals'-colony history.",Wikipedia,"https://en.wikipedia.org/wiki/Fairhope,_Alabama",2026-08-27,MEDIUM,YES,YES,
lf_fairhope_al_us_retirement_orientation,fairhope-al-us,community_form,retirement_orientation,NOT_APPLICABLE,MODERATE,NOT_APPLICABLE,Retirement-community character,"2020 census: 29.1% of residents are 65+, well above typical national share, consistent with meaningful retiree presence though not an exclusively retirement-branded community.",Wikipedia,"https://en.wikipedia.org/wiki/Fairhope,_Alabama",2026-08-27,MEDIUM,YES,YES,
lf_fairhope_al_us_college_town_character,fairhope-al-us,community_form,college_town_character,NOT_APPLICABLE,LIMITED,NOT_APPLICABLE,College-town character,"Hosts a Faulkner State Community College campus and a University of South Alabama branch campus, but is not a dominant university-town identity.",Wikipedia,"https://en.wikipedia.org/wiki/Fairhope,_Alabama",2026-08-27,MEDIUM,YES,YES,
lf_fairhope_al_us_master_planned_or_gated_character,fairhope-al-us,community_form,master_planned_or_gated_character,NOT_APPLICABLE,MODERATE,NOT_APPLICABLE,Master-planned / gated community presence,Existing PLACES golf row: Rock Creek Golf Club described as a 'golf-oriented residential/community asset'.,"Batch #2 workbook (existing, untouched v3.2)",,,MEDIUM,YES,YES,Existing PLACES evidence.
lf_fairhope_al_us_community_energy,fairhope-al-us,community_form,community_energy,BALANCED,NOT_APPLICABLE,NOT_APPLICABLE,Everyday atmosphere,2019 New York Times profile: 'A Southern Town That's Been Holding On to Its Charm' - historic arts-colony character with a mix of quiet and cultural energy.,Wikipedia,"https://en.wikipedia.org/wiki/Fairhope,_Alabama",2026-08-27,MEDIUM,YES,YES,
lf_fairhope_al_us_tourism_seasonality,fairhope-al-us,community_form,tourism_seasonality,MODERATE_SEASONALITY,NOT_APPLICABLE,NOT_APPLICABLE,Tourist-season variability,Not independently confirmed with visitor data this pass; Gulf Coast region generally has a summer peak season.,,,,LOW,NO,YES,
lf_fairhope_al_us_coastal_setting,fairhope-al-us,natural_setting,coastal_setting,NOT_APPLICABLE,STRONG,IN_DESTINATION,Coastal setting,City is located on the eastern shoreline of Mobile Bay.,Wikipedia,"https://en.wikipedia.org/wiki/Fairhope,_Alabama",2026-08-27,MEDIUM,YES,YES,
