record_key,destination_key,feature_group,feature_key,feature_value,availability_level,proximity_band,display_label,evidence_summary,source_name,source_url,source_as_of_date,confidence,matching_enabled,display_enabled,notes
lf_puerto_vallarta_mx_college_town_character,puerto-vallarta-mx,community_form,college_town_character,NOT_APPLICABLE,NONE,NOT_APPLICABLE,College-town character,No university presence identified.,Wikipedia,https://en.wikipedia.org/wiki/Puerto_Vallarta,2026-08-27,MEDIUM,YES,YES,
lf_puerto_vallarta_mx_master_planned_or_gated_character,puerto-vallarta-mx,community_form,master_planned_or_gated_character,NOT_APPLICABLE,MODERATE,NOT_APPLICABLE,Master-planned / gated community presence,"Marina Vallarta is documented as 'a large planned real estate tourism development near the airport with a marina, golf course, hotels, timeshare resorts and residential areas'.",Wikipedia,https://en.wikipedia.org/wiki/Puerto_Vallarta,2026-08-27,MEDIUM,YES,YES,
lf_puerto_vallarta_mx_community_energy,puerto-vallarta-mx,community_form,community_energy,ENERGETIC,NOT_APPLICABLE,NOT_APPLICABLE,Everyday atmosphere,"An extensive documented nightlife/gay-tourism scene centered in Zona Romantica, a year-round festival calendar, and a lively Malecon promenade.",Wikipedia,https://en.wikipedia.org/wiki/Puerto_Vallarta,2026-08-27,MEDIUM,YES,YES,
lf_puerto_vallarta_mx_tourism_seasonality,puerto-vallarta-mx,community_form,tourism_seasonality,HIGH_SEASONALITY,NOT_APPLICABLE,NOT_APPLICABLE,Tourist-season variability,"The high season for international tourism runs from late November through March (or later, depending on U.S. college spring break timing).",Wikipedia,https://en.wikipedia.org/wiki/Puerto_Vallarta,2026-08-27,MEDIUM,YES,YES,
lf_puerto_vallarta_mx_coastal_setting,puerto-vallarta-mx,natural_setting,coastal_setting,NOT_APPLICABLE,STRONG,IN_DESTINATION,Coastal setting,A Mexican resort city on Bahia de Banderas of the Pacific coast.,Wikipedia,https://en.wikipedia.org/wiki/Puerto_Vallarta,2026-08-27,MEDIUM,YES,YES,
lf_puerto_vallarta_mx_beach_access,puerto-vallarta-mx,natural_setting,beach_access,DIRECT_ACCESS,NOT_APPLICABLE,IN_DESTINATION,Beach access,Mirrors existing DESTINATIONS.beach_access = DIRECT_ACCESS.,DESTINATIONS.beach_access (existing authoritative field),,,HIGH,NO,YES,"Mirrored value, not independently researched."
lf_puerto_vallarta_mx_mountain_access,puerto-vallarta-mx,natural_setting,mountain_access,MOUNTAIN_SCENIC_ONLY,NOT_APPLICABLE,WITHIN_30_MIN,Mountain access,Mirrors existing DESTINATIONS.mountain_or_ski_access = MOUNTAIN_SCENIC_ONLY.,DESTINATIONS.mountain_or_ski_access (existing authoritative field),,,HIGH,NO,YES,"Mirrored value, not independently researched."
lf_puerto_vallarta_mx_lake_access,puerto-vallarta-mx,natural_setting,lake_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Lake access,"No named lake identified; Isla Cuale is a river island, not a lake.",,,,LOW,NO,YES,
lf_puerto_vallarta_mx_river_access,puerto-vallarta-mx,natural_setting,river_access,NOT_APPLICABLE,STRONG,IN_DESTINATION,River access,"Three rivers (Cuale, Pitillal, Ameca) flow through the city area; the Rio Cuale forms Isla Cuale in the city center, and river swimming is documented at the Vallarta Botanical Gardens.",Wikipedia,https://en.wikipedia.org/wiki/Puerto_Vallarta,2026-08-27,MEDIUM,YES,YES,
lf_puerto_vallarta_mx_forest_access,puerto-vallarta-mx,natural_setting,forest_access,NOT_APPLICABLE,MODERATE,WITHIN_30_MIN,Forest / woodland access,The city lies at the foot of the Sierra Cuale and San Sebastian ranges (Sierra Madre Occidental); Terra Noble sits along the edge of the Agua Azul Nature Reserve.,Wikipedia,https://en.wikipedia.org/wiki/Puerto_Vallarta,2026-08-27,MEDIUM,YES,YES,
lf_puerto_vallarta_mx_desert_setting,puerto-vallarta-mx,natural_setting,desert_setting,NOT_APPLICABLE,NONE,NOT_APPLICABLE,Desert setting,Tropical wet-and-dry (Koppen Aw) climate; no arid/desert biome.,Wikipedia,https://en.wikipedia.org/wiki/Puerto_Vallarta,2026-08-27,MEDIUM,YES,YES,
lf_puerto_vallarta_mx_countryside_access,puerto-vallarta-mx,natural_setting,countryside_access,NOT_APPLICABLE,MODERATE,WITHIN_60_MIN,Countryside access,Bordered by the more rural municipalities of Mascota and San Sebastian del Oeste to the east.,Wikipedia,https://en.wikipedia.org/wiki/Puerto_Vallarta,2026-08-27,MEDIUM,YES,YES,
lf_puerto_vallarta_mx_snow_access,puerto-vallarta-mx,natural_setting,snow_access,NOT_APPLICABLE,NONE,NOT_APPLICABLE,Snow / winter-scenery access,Tropical Pacific coastal climate; snow is climatologically implausible.,Wikipedia,https://en.wikipedia.org/wiki/Puerto_Vallarta,2026-08-27,MEDIUM,YES,YES,
lf_puerto_vallarta_mx_marina_access,puerto-vallarta-mx,water_and_boating,marina_access,NOT_APPLICABLE,STRONG,IN_DESTINATION,Marina access,"Marina Vallarta is explicitly documented as a large planned development built around a real marina, near the airport.",Wikipedia,https://en.wikipedia.org/wiki/Puerto_Vallarta,2026-08-27,MEDIUM,YES,YES,
lf_puerto_vallarta_mx_boat_launch_access,puerto-vallarta-mx,water_and_boating,boat_launch_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Boat ramp / launch access,No public boat ramp distinct from the Marina Vallarta marina was specifically confirmed this pass.,,,,LOW,NO,YES,
lf_puerto_vallarta_mx_slip_or_mooring_access,puerto-vallarta-mx,water_and_boating,slip_or_mooring_access,NOT_APPLICABLE,LIMITED,IN_DESTINATION,Boat slip / mooring availability,Inferred from Marina Vallarta's documented existence as a real marina development; specific slip counts/rates were not confirmed.,Wikipedia,https://en.wikipedia.org/wiki/Puerto_Vallarta,2026-08-27,MEDIUM,YES,YES,
lf_puerto_vallarta_mx_powerboating_access,puerto-vallarta-mx,water_and_boating,powerboating_access,NOT_APPLICABLE,MODERATE,IN_DESTINATION,Powerboating,"Marina Vallarta plus the documented Los Arcos boat-accessible marine park support powerboat access, though a specific tour operator was not itemized this pass.",Wikipedia,https://en.wikipedia.org/wiki/Puerto_Vallarta,2026-08-27,MEDIUM,YES,YES,
lf_puerto_vallarta_mx_sailing_access,puerto-vallarta-mx,water_and_boating,sailing_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Sailing,No sailing club/operator specifically confirmed this pass.,,,,LOW,NO,YES,
lf_puerto_vallarta_mx_fishing_access,puerto-vallarta-mx,water_and_boating,fishing_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Fishing access,No fishing access point or charter operator specifically confirmed this pass.,,,,LOW,NO,YES,
lf_puerto_vallarta_mx_kayaking_access,puerto-vallarta-mx,water_and_boating,kayaking_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Kayaking,No kayaking outfitter confirmed this pass.,,,,LOW,NO,YES,
lf_puerto_vallarta_mx_paddleboarding_access,puerto-vallarta-mx,water_and_boating,paddleboarding_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Paddleboarding,No paddleboarding outfitter confirmed this pass.,,,,LOW,NO,YES,
lf_puerto_vallarta_mx_swimming_access,puerto-vallarta-mx,water_and_boating,swimming_access,NOT_APPLICABLE,STRONG,IN_DESTINATION,Swimming access,"Playa Olas Altas is documented as 'a popular place to swim, especially for locals and national tourists'; river swimming is also available at the Vallarta Botanical Gardens.",Wikipedia,https://en.wikipedia.org/wiki/Puerto_Vallarta,2026-08-27,MEDIUM,YES,YES,
lf_puerto_vallarta_mx_surfing_access,puerto-vallarta-mx,water_and_boating,surfing_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Surfing,No surf break/school specifically confirmed this pass.,,,,LOW,NO,YES,
lf_puerto_vallarta_mx_scuba_snorkeling_access,puerto-vallarta-mx,water_and_boating,scuba_snorkeling_access,NOT_APPLICABLE,MODERATE,WITHIN_30_MIN,Scuba diving / snorkeling,"Los Arcos National Marine Park, protected since 1984 and located 12km south of the city off Mismaloya, is documented as 'a popular snorkeling destination'.",Wikipedia,https://en.wikipedia.org/wiki/Puerto_Vallarta,2026-08-27,MEDIUM,YES,YES,
lf_puerto_vallarta_mx_golf_access,puerto-vallarta-mx,outdoor_recreation,golf_access,NOT_APPLICABLE,STRONG,IN_DESTINATION,Golf access,"Existing PLACES golf rows (Marina Vallarta Club de Golf, Vista Vallarta Club de Golf) corroborated directly by Wikipedia's Marina Vallarta description.","Batch #1 workbook (existing, untouched v3.2)",,,HIGH,YES,YES,"Existing PLACES evidence, corroborated."
lf_puerto_vallarta_mx_pickleball_access,puerto-vallarta-mx,outdoor_recreation,pickleball_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Pickleball,No evidence found either way.,,,,LOW,NO,NO,
lf_puerto_vallarta_mx_tennis_access,puerto-vallarta-mx,outdoor_recreation,tennis_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Tennis,No evidence found either way.,,,,LOW,NO,NO,
lf_puerto_vallarta_mx_skiing_snowboarding_access,puerto-vallarta-mx,outdoor_recreation,skiing_snowboarding_access,NOT_APPLICABLE,NONE,NOT_APPLICABLE,Skiing / snowboarding,Tropical coastal climate; no ski facility exists or is climatically feasible.,Wikipedia,https://en.wikipedia.org/wiki/Puerto_Vallarta,2026-08-27,MEDIUM,YES,YES,
lf_puerto_vallarta_mx_hiking_access,puerto-vallarta-mx,outdoor_recreation,hiking_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Hiking,Sierra Madre foothill hiking is plausible but was not specifically confirmed this pass.,,,,LOW,NO,YES,
lf_puerto_vallarta_mx_trail_access,puerto-vallarta-mx,outdoor_recreation,trail_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Walking / multi-use trails,No dedicated walking/multi-use trail confirmed this pass.,,,,LOW,NO,YES,
lf_puerto_vallarta_mx_road_cycling_access,puerto-vallarta-mx,outdoor_recreation,road_cycling_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Road cycling,No confirmed cycling route this pass.,,,,LOW,NO,YES,
lf_puerto_vallarta_mx_mountain_biking_access,puerto-vallarta-mx,outdoor_recreation,mountain_biking_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Mountain biking,No evidence found either way.,,,,LOW,NO,NO,
lf_puerto_vallarta_mx_hunting_access,puerto-vallarta-mx,outdoor_recreation,hunting_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Recreational hunting access (general/regional only),No destination-specific confirmation sought or found.,,,,LOW,NO,YES,
lf_puerto_vallarta_mx_parks_open_space_access,puerto-vallarta-mx,outdoor_recreation,parks_open_space_access,NOT_APPLICABLE,STRONG,IN_DESTINATION,Parks & open space,"Existing PLACES park rows (Isla Cuale, Vallarta Botanical Garden).","Batch #1 workbook (existing, untouched v3.2)",,,HIGH,YES,YES,Existing PLACES evidence.
lf_puerto_vallarta_mx_arts_culture_strength,puerto-vallarta-mx,culture_and_daily_life,arts_culture_strength,NOT_APPLICABLE,MODERATE,NOT_APPLICABLE,Arts & culture strength,Existing PLACES museum/attraction rows plus documented public art along the Malecon.,"Batch #1 workbook (existing, untouched v3.2)",,,HIGH,YES,YES,Existing PLACES evidence.
lf_puerto_vallarta_mx_dining_strength,puerto-vallarta-mx,culture_and_daily_life,dining_strength,NOT_APPLICABLE,MODERATE,NOT_APPLICABLE,Dining,Existing PLACES restaurant/coffee_shop rows.,"Batch #1 workbook (existing, untouched v3.2)",,,HIGH,YES,YES,Existing PLACES evidence.
lf_puerto_vallarta_mx_nightlife_strength,puerto-vallarta-mx,culture_and_daily_life,nightlife_strength,NOT_APPLICABLE,STRONG,NOT_APPLICABLE,Nightlife,"An extensively documented nightlife/gay-tourism scene centered in Zona Romantica, with bars, nightclubs and an annual Pride celebration.",Wikipedia,https://en.wikipedia.org/wiki/Puerto_Vallarta,2026-08-27,MEDIUM,YES,YES,
lf_hoi_an_vn_settlement_type,hoi-an-vn,community_form,settlement_type,SMALL_CITY,NOT_APPLICABLE,NOT_APPLICABLE,Community type,"Population 98,599 per existing workbook; city_type 'Historic coastal city'. Note: a 2018 Wikipedia figure for the (larger, pre-2025 administrative) city proper cites 152,160 - likely a different geographic boundary; the existing workbook's own population field is treated as authoritative here.","Batch #1 workbook (existing, untouched v3.2)",,,HIGH,YES,YES,PRIMARY
lf_hoi_an_vn_suburban_character,hoi-an-vn,community_form,suburban_character,NOT_APPLICABLE,NONE,NOT_APPLICABLE,Suburban character,"A standalone historic port city, not a suburb.",Wikipedia,https://en.wikipedia.org/wiki/H%E1%BB%99i_An_(city),2026-08-27,MEDIUM,YES,YES,
lf_hoi_an_vn_resort_orientation,hoi-an-vn,community_form,resort_orientation,NOT_APPLICABLE,STRONG,NOT_APPLICABLE,Resort orientation,"A major UNESCO World Heritage tourist destination; 'many bars, hotels, and resorts have been constructed both in Hoi An and the surrounding area.'",Wikipedia,https://en.wikipedia.org/wiki/H%E1%BB%99i_An_(city),2026-08-27,MEDIUM,YES,YES,
lf_hoi_an_vn_retirement_orientation,hoi-an-vn,community_form,retirement_orientation,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Retirement-community character,No evidence found either way.,,,,LOW,NO,NO,
lf_hoi_an_vn_college_town_character,hoi-an-vn,community_form,college_town_character,NOT_APPLICABLE,NONE,NOT_APPLICABLE,College-town character,No university presence identified.,Wikipedia,https://en.wikipedia.org/wiki/H%E1%BB%99i_An_(city),2026-08-27,MEDIUM,YES,YES,
lf_hoi_an_vn_master_planned_or_gated_character,hoi-an-vn,community_form,master_planned_or_gated_character,NOT_APPLICABLE,NONE,NOT_APPLICABLE,Master-planned / gated community presence,An organically-grown historic trading port preserved largely by economic stagnation rather than modern master planning.,Wikipedia,https://en.wikipedia.org/wiki/H%E1%BB%99i_An_(city),2026-08-27,MEDIUM,YES,YES,
lf_hoi_an_vn_community_energy,hoi-an-vn,community_form,community_energy,BALANCED,NOT_APPLICABLE,NOT_APPLICABLE,Everyday atmosphere,"A monthly Full Moon Lantern Festival deliberately turns off electric lighting for a quiet, pedestrian-only atmosphere, while the old quarter otherwise hosts an active tourist nightlife and dining scene.",Wikipedia,https://en.wikipedia.org/wiki/H%E1%BB%99i_An_(city),2026-08-27,MEDIUM,YES,YES,
lf_hoi_an_vn_tourism_seasonality,hoi-an-vn,community_form,tourism_seasonality,HIGH_SEASONALITY,NOT_APPLICABLE,NOT_APPLICABLE,Tourist-season variability,The rainy season (September-January) brings heavy rain that 'can cause floods and affect tourism'.,Wikipedia,https://en.wikipedia.org/wiki/H%E1%BB%99i_An_(city),2026-08-27,MEDIUM,YES,YES,
lf_hoi_an_vn_coastal_setting,hoi-an-vn,natural_setting,coastal_setting,NOT_APPLICABLE,STRONG,IN_DESTINATION,Coastal setting,A South China Sea coastal town; the Cham Islands lie offshore of the city's coast.,DESTINATIONS.beach_access (existing authoritative field) + Wikipedia,https://en.wikipedia.org/wiki/Ch%C3%A0m_Islands,2026-08-27,HIGH,YES,YES,
lf_hoi_an_vn_beach_access,hoi-an-vn,natural_setting,beach_access,DIRECT_ACCESS,NOT_APPLICABLE,IN_DESTINATION,Beach access,Mirrors existing DESTINATIONS.beach_access = DIRECT_ACCESS.,DESTINATIONS.beach_access (existing authoritative field),,,HIGH,NO,YES,"Mirrored value, not independently researched."
lf_hoi_an_vn_mountain_access,hoi-an-vn,natural_setting,mountain_access,MOUNTAIN_SCENIC_ONLY,NOT_APPLICABLE,WITHIN_60_MIN,Mountain access,Mirrors existing DESTINATIONS.mountain_or_ski_access = MOUNTAIN_SCENIC_ONLY.,DESTINATIONS.mountain_or_ski_access (existing authoritative field),,,HIGH,NO,YES,"Mirrored value, not independently researched."
lf_hoi_an_vn_lake_access,hoi-an-vn,natural_setting,lake_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Lake access,No named lake identified.,,,,LOW,NO,YES,
lf_hoi_an_vn_river_access,hoi-an-vn,natural_setting,river_access,NOT_APPLICABLE,STRONG,IN_DESTINATION,River access,"The town sits directly downstream of the Thu Bon River, with the Hoai River tributary running through the old quarter itself; the river remains 'essential to the region' for food production and transport.",Wikipedia,https://en.wikipedia.org/wiki/H%E1%BB%99i_An_Old_Town,2026-08-27,MEDIUM,YES,YES,
lf_hoi_an_vn_forest_access,hoi-an-vn,natural_setting,forest_access,NOT_APPLICABLE,LIMITED,WITHIN_60_MIN,Forest / woodland access,"The offshore Cham Islands (Cu Lao Cham) are a forested archipelago and UNESCO biosphere reserve; this is a regional, boat-accessible asset rather than an in-town forest.",Wikipedia,https://en.wikipedia.org/wiki/Ch%C3%A0m_Islands,2026-08-27,MEDIUM,YES,YES,
lf_hoi_an_vn_desert_setting,hoi-an-vn,natural_setting,desert_setting,NOT_APPLICABLE,NONE,NOT_APPLICABLE,Desert setting,Tropical monsoon climate (Koppen Am); no arid/desert biome.,Wikipedia,https://en.wikipedia.org/wiki/H%E1%BB%99i_An_(city),2026-08-27,MEDIUM,YES,YES,
lf_hoi_an_vn_countryside_access,hoi-an-vn,natural_setting,countryside_access,NOT_APPLICABLE,MODERATE,WITHIN_30_MIN,Countryside access,Existing PLACES entry for Tra Que Vegetable Village documents a working agricultural village setting near the town.,"Batch #1 workbook (existing, untouched v3.2)",,,MEDIUM,YES,YES,Existing PLACES evidence.
lf_hoi_an_vn_snow_access,hoi-an-vn,natural_setting,snow_access,NOT_APPLICABLE,NONE,NOT_APPLICABLE,Snow / winter-scenery access,Tropical monsoon climate; snow is climatologically implausible.,Wikipedia,https://en.wikipedia.org/wiki/H%E1%BB%99i_An_(city),2026-08-27,MEDIUM,YES,YES,
lf_hoi_an_vn_marina_access,hoi-an-vn,water_and_boating,marina_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Marina access,No formal marina confirmed; boats are documented docking informally along the riverfront.,,,,LOW,NO,YES,
lf_hoi_an_vn_boat_launch_access,hoi-an-vn,water_and_boating,boat_launch_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Boat ramp / launch access,No public boat ramp specifically confirmed this pass.,,,,LOW,NO,YES,
lf_hoi_an_vn_slip_or_mooring_access,hoi-an-vn,water_and_boating,slip_or_mooring_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Boat slip / mooring availability,No marina/mooring facility specifically confirmed this pass.,,,,LOW,NO,YES,
lf_hoi_an_vn_powerboating_access,hoi-an-vn,water_and_boating,powerboating_access,NOT_APPLICABLE,MODERATE,IN_DESTINATION,Powerboating,"Motorboat rides on the Thu Bon River are documented as 'an increasingly common tourist activity,' though Wikipedia itself flags this specific claim with a failed-verification tag.",Wikipedia,https://en.wikipedia.org/wiki/H%E1%BB%99i_An_(city),2026-08-27,MEDIUM,YES,YES,Source citation itself is flagged [failed verification] in Wikipedia; confidence held at MEDIUM rather than HIGH for this reason.
lf_hoi_an_vn_sailing_access,hoi-an-vn,water_and_boating,sailing_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Sailing,No sailing club/operator identified in this research pass.,,,,LOW,NO,YES,
lf_hoi_an_vn_fishing_access,hoi-an-vn,water_and_boating,fishing_access,NOT_APPLICABLE,STRONG,IN_DESTINATION,Fishing access,"Active fishing villages are documented, including Whale God (Ong Ca) worship by fishing communities, dragon-boat/canoe racing festivals held praying for 'abundant catches,' and the port mouth still used for fishing today.",Wikipedia,https://en.wikipedia.org/wiki/H%E1%BB%99i_An_(city),2026-08-27,MEDIUM,YES,YES,
lf_hoi_an_vn_kayaking_access,hoi-an-vn,water_and_boating,kayaking_access,NOT_APPLICABLE,MODERATE,IN_DESTINATION,Kayaking,"Kayak rides on the Thu Bon River are documented as 'an increasingly common tourist activity,' though this specific claim carries a Wikipedia failed-verification tag.",Wikipedia,https://en.wikipedia.org/wiki/H%E1%BB%99i_An_(city),2026-08-27,MEDIUM,YES,YES,Source citation itself is flagged [failed verification] in Wikipedia; confidence held at MEDIUM rather than HIGH for this reason.
lf_hoi_an_vn_paddleboarding_access,hoi-an-vn,water_and_boating,paddleboarding_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Paddleboarding,No paddleboarding outfitter identified in this research pass.,,,,LOW,NO,YES,
lf_hoi_an_vn_swimming_access,hoi-an-vn,water_and_boating,swimming_access,NOT_APPLICABLE,STRONG,IN_DESTINATION,Swimming access,"Existing DESTINATIONS.beach_access = DIRECT_ACCESS plus existing PLACES named-beach rows (An Bang, Cua Dai).","Batch #1 workbook (existing, untouched v3.2)",,,HIGH,YES,YES,Existing workbook evidence.
lf_hoi_an_vn_surfing_access,hoi-an-vn,water_and_boating,surfing_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Surfing,No surf break/school specifically confirmed this pass.,,,,LOW,NO,YES,
lf_hoi_an_vn_scuba_snorkeling_access,hoi-an-vn,water_and_boating,scuba_snorkeling_access,NOT_APPLICABLE,MODERATE,WITHIN_60_MIN,Scuba diving / snorkeling,"The Cham Islands, roughly 15-19km offshore and reachable by an approximately 30-minute speedboat crossing, are documented to have 'facilities for camping, swimming and scuba diving'.",Wikipedia,https://en.wikipedia.org/wiki/Ch%C3%A0m_Islands,2026-08-27,MEDIUM,YES,YES,"Proximity band widened to WITHIN_60_MIN to conservatively account for travel to the departure point plus the boat crossing itself, rather than asserting the crossing time alone."
lf_hoi_an_vn_golf_access,hoi-an-vn,outdoor_recreation,golf_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Golf access,No golf course confirmed for this destination in this research pass; existing PLACES also has no golf category entry.,,,,LOW,NO,YES,
lf_hoi_an_vn_pickleball_access,hoi-an-vn,outdoor_recreation,pickleball_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Pickleball,No evidence found either way.,,,,LOW,NO,NO,
lf_hoi_an_vn_tennis_access,hoi-an-vn,outdoor_recreation,tennis_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Tennis,No evidence found either way.,,,,LOW,NO,NO,
lf_hoi_an_vn_skiing_snowboarding_access,hoi-an-vn,outdoor_recreation,skiing_snowboarding_access,NOT_APPLICABLE,NONE,NOT_APPLICABLE,Skiing / snowboarding,Tropical monsoon coastal climate; no ski facility exists or is climatically feasible.,Wikipedia,https://en.wikipedia.org/wiki/H%E1%BB%99i_An_(city),2026-08-27,MEDIUM,YES,YES,
lf_hoi_an_vn_hiking_access,hoi-an-vn,outdoor_recreation,hiking_access,NOT_APPLICABLE,LIMITED,WITHIN_60_MIN,Hiking,The forested Cham Islands offer regional hiking terrain; no in-town hiking trail was confirmed.,Wikipedia,https://en.wikipedia.org/wiki/Ch%C3%A0m_Islands,2026-08-27,MEDIUM,YES,YES,
lf_hoi_an_vn_trail_access,hoi-an-vn,outdoor_recreation,trail_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Walking / multi-use trails,No formal in-town multi-use trail confirmed this pass; see road_cycling_access for documented cycling routes.,,,,LOW,NO,YES,
lf_hoi_an_vn_road_cycling_access,hoi-an-vn,outdoor_recreation,road_cycling_access,NOT_APPLICABLE,STRONG,IN_DESTINATION,Road cycling,"Bicycle touring outside the old quarter is explicitly documented as a common visitor activity, alongside the existing PLACES description of Tra Que Vegetable Village as a cycling destination.",Wikipedia,https://en.wikipedia.org/wiki/H%E1%BB%99i_An_(city),2026-08-27,MEDIUM,YES,YES,
lf_hoi_an_vn_mountain_biking_access,hoi-an-vn,outdoor_recreation,mountain_biking_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Mountain biking,No evidence found either way.,,,,LOW,NO,NO,
lf_hoi_an_vn_hunting_access,hoi-an-vn,outdoor_recreation,hunting_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Recreational hunting access (general/regional only),No destination-specific confirmation sought or found.,,,,LOW,NO,YES,
lf_hoi_an_vn_parks_open_space_access,hoi-an-vn,outdoor_recreation,parks_open_space_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Parks & open space,No named public park confirmed for this destination; existing PLACES also has no park category entry.,,,,LOW,NO,YES,
lf_hoi_an_vn_arts_culture_strength,hoi-an-vn,culture_and_daily_life,arts_culture_strength,NOT_APPLICABLE,STRONG,NOT_APPLICABLE,Arts & culture strength,"UNESCO World Heritage Site (1999) and UNESCO Creative City of Crafts and Folk Art (2023) designations, plus existing PLACES museum rows (History and Culture Museum, Museum of Trade Ceramics, Sa Huynh Culture Museum).","Batch #1 workbook (existing, untouched v3.2)",,,HIGH,YES,YES,Existing PLACES evidence plus Wikipedia corroboration.
lf_hoi_an_vn_dining_strength,hoi-an-vn,culture_and_daily_life,dining_strength,NOT_APPLICABLE,STRONG,NOT_APPLICABLE,Dining,"Named by CNN as the 'banh mi capital of Vietnam'; cao lau is documented as the town's signature dish, alongside white rose dumplings and com ga.",Wikipedia,https://en.wikipedia.org/wiki/H%E1%BB%99i_An_(city),2026-08-27,MEDIUM,YES,YES,"CNN naming is a factual, named-source recognition rather than a promotional claim."
lf_hoi_an_vn_farmers_market_access,hoi-an-vn,culture_and_daily_life,farmers_market_access,NOT_APPLICABLE,MODERATE,NOT_APPLICABLE,Farmers markets,Existing PLACES farmers_market category entry.,"Batch #1 workbook (existing, untouched v3.2)",,,HIGH,YES,YES,Existing PLACES evidence.
lf_queenstown_nz_settlement_type,queenstown-nz,community_form,settlement_type,RESORT_COMMUNITY,NOT_APPLICABLE,NOT_APPLICABLE,Community type,"city_type 'Alpine lake resort town'; tourism (ski, adventure) is documented as the town's defining economic activity.","Batch #1 workbook (existing, untouched v3.2)",,,HIGH,YES,YES,PRIMARY
lf_queenstown_nz_settlement_type_2,queenstown-nz,community_form,settlement_type,SMALL_TOWN,NOT_APPLICABLE,NOT_APPLICABLE,Community type,"Population approximately 29,000 (urban area) / 53,800 (Queenstown-Lakes District).",Wikipedia,"https://en.wikipedia.org/wiki/Queenstown,_New_Zealand",2026-08-27,MEDIUM,YES,YES,SECONDARY
lf_queenstown_nz_suburban_character,queenstown-nz,community_form,suburban_character,NOT_APPLICABLE,NONE,NOT_APPLICABLE,Suburban character,"A standalone resort town, not a suburb of a larger city.",Wikipedia,"https://en.wikipedia.org/wiki/Queenstown,_New_Zealand",2026-08-27,MEDIUM,YES,YES,
lf_queenstown_nz_resort_orientation,queenstown-nz,community_form,resort_orientation,NOT_APPLICABLE,STRONG,NOT_APPLICABLE,Resort orientation,"Tourism (ski fields, adventure sports, lake cruises) is documented as the central pillar of the local economy.",Wikipedia,"https://en.wikipedia.org/wiki/Queenstown,_New_Zealand",2026-08-27,MEDIUM,YES,YES,
lf_queenstown_nz_retirement_orientation,queenstown-nz,community_form,retirement_orientation,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Retirement-community character,No evidence found either way.,,,,LOW,NO,NO,
lf_queenstown_nz_college_town_character,queenstown-nz,community_form,college_town_character,NOT_APPLICABLE,LIMITED,NOT_APPLICABLE,College-town character,"A branch campus of the Southern Institute of Technology and a tourism-focused tertiary campus are documented, but the town's identity is not primarily that of a college town.",Wikipedia,"https://en.wikipedia.org/wiki/Queenstown,_New_Zealand",2026-08-27,MEDIUM,YES,YES,
lf_queenstown_nz_master_planned_or_gated_character,queenstown-nz,community_form,master_planned_or_gated_character,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Master-planned / gated community presence,No evidence found either way.,,,,LOW,NO,NO,
lf_queenstown_nz_community_energy,queenstown-nz,community_form,community_energy,ENERGETIC,NOT_APPLICABLE,NOT_APPLICABLE,Everyday atmosphere,"An extensive documented adventure-tourism and festival calendar (Queenstown Bike Festival, winter festival) alongside a lively central nightlife/dining district.",Wikipedia,"https://en.wikipedia.org/wiki/Queenstown,_New_Zealand",2026-08-27,MEDIUM,YES,YES,
